#GRM32ER71E226KE15,,,#GRM32ER71E226KE15,,,#GRM32ER71E226KE15,,,
#2026/09/12,,,#2026/09/12,,,#2026/09/12,,,
#c_dcbias_capchange_cap,,,#r,,,#z,,,
#capchange  25.0degC  AC0.5Vrms,,,#DC3.3V 25degC,,,#DC3.3V 25degC,,,
DC Bias[V],Cap. Change Rate[%],Cap. Change Rate[%],Frequency[Hz],Resistance[ohm],,Frequency[Hz],Impedance[ohm],,
0.0,0.0,23.830333333333332,99.99999999999999,2.193693341974461,,99.99999999999999,97.12441311978368,,
0.125,0.58022516747116,23.9686029248256,104.57921513303334,2.1014323606420886,,104.57921513303334,92.9242904145339,,
0.25,1.1086493770712913,24.094528175387346,109.3681223784127,2.0143523428409655,,109.3681223784127,88.90613466545932,,
0.375,1.580166881581202,24.20689236843707,114.37632398907938,1.9320639413324068,,114.37632398907938,85.06221490795757,,
0.5,1.990530946874336,24.30468349307664,119.61386192579457,1.8541903111491207,,119.61386192579457,81.38510577590293,,
0.625,2.336298974953399,24.387081166727977,125.09123799230618,1.7803696265213147,,125.09123799230618,77.86767566469749,,
0.75,2.6147797235758885,24.453444057393877,130.8194348925486,1.710257205093418,,130.8194348925486,74.50307554599374,,
0.875,2.8239819558579793,24.503297646687475,136.8099382520969,1.6435272799703005,,136.8099382520969,71.28472838629098,,
1.0,2.962564112748045,24.5363222366149,143.0747596480305,1.5798744541196754,,143.0747596480305,68.2063191313282,,
1.125,3.0297847980731207,24.552341149996817,149.6264606933842,1.519014864592084,,149.6264606933842,65.26178522525461,,
1.25,3.025454012032802,24.551309109247455,156.47817822447783,1.460687076514315,,156.47817822447783,62.44530763796601,,
1.375,2.9498851742191246,24.533300803300328,163.643650641628,1.4046527194513159,,163.643650641628,59.7513023758589,,
1.5,2.8038480494719353,24.49849966968266,171.13724545605763,1.3506968720822476,,171.13724545605763,57.17441245079535,,
1.625,2.588522735622778,24.447186929641358,178.97398809823787,1.2986281957198094,,178.97398809823787,54.70950027961088,,
1.75,2.305454897027648,24.379730920144677,187.1695920454257,1.2482788134754637,,187.1695920454257,52.3516404824808,,
1.875,1.956512436152802,24.296576768576664,195.74049032880657,1.1995039301991879,,195.74049032880657,50.09611304343682,,
2.0,1.5438437914466085,24.198236454981032,204.70386848341695,1.1521811889308788,,204.70386848341695,47.93839679092806,,
2.125,1.069838036248072,24.085279303498034,214.07769900691426,1.1062097625614848,,214.07769900691426,45.874163151251146,,
2.25,0.5370869335050488,23.958322939877363,223.88077739628844,1.0615091845901823,,223.88077739628844,43.89927012363204,,
2.375,-0.051650923369472856,23.818024746124642,234.132759834772,1.018017929956005,,234.132759834772,42.00975642338901,,
2.5,-0.6934837801014115,23.665073836922563,244.85420260451446,0.9756917653962636,,244.85420260451446,40.201835739481346,,
2.625,-1.3854181263248444,23.5001835757697,256.06660330404856,0.9345018979509808,,256.06660330404856,38.471891055217256,,
2.75,-2.124387788101567,23.3240846421361,267.79244395319193,0.8944329592949759,,267.79244395319193,36.81646898609667,,
2.875,-2.9072806877957325,23.13751865449598,280.0552360718164,0.8554808716952926,,280.0552360718164,35.23227409657449,,
3.0,-3.730963276151855,22.941232348082092,292.87956782286926,0.8176506477710743,,292.87956782286926,33.71616316756328,,
3.125,-4.592302664570946,22.735972300690527,306.2911533141767,0.780954180213573,,306.2911533141767,32.26513939813723,,
3.25,-5.488186506209491,22.52248019494859,320.3168841578819,0.7454080787539343,,320.3168841578819,30.87634653735488,,
3.375,-6.415540692537913,22.301488601165904,334.9848833909005,0.7110316097511092,,334.9848833909005,29.547062954509563,,
3.5,-7.371344947275293,22.073717261247804,350.32456186451077,0.6778447888992909,,350.32456186451077,28.27469566755671,,
3.625,-8.352646412145981,21.839869851164238,366.36667721614316,0.6458666700782123,,366.36667721614316,27.056774359176142,,
3.75,-9.356571328900387,21.600631197085274,383.1433955416162,0.6151138638670443,,383.1433955416162,25.89094541728877,,
3.875,-10.380334929535328,21.35666491850863,400.6883558914757,0.5855993084435197,,400.6883558914757,24.774966041482955,,
4.0,-11.421249651784892,21.108611470480817,419.03673772076064,0.5573313042919454,,419.03673772076064,23.70669845858285,,
4.125,-12.476731800170015,20.857086556246816,438.22533142743896,0.5303128131284037,,438.22533142743896,22.68410428963009,,
4.25,-13.544306774050096,20.602679881387946,458.2926121209498,0.5045410114081128,,458.2926121209498,21.705239107173302,,
4.375,-14.621612983815224,20.345954220580214,479.2788167687661,0.4800070802491478,,479.2788167687661,20.768247216454707,,
4.5,-15.70640457455632,20.087444768534645,501.22602487566456,0.45669620694841356,,501.22602487566456,19.871356687419556,,
4.625,-16.796553073529232,19.82765874740107,524.1782428574726,0.4345877686499182,,524.1782428574726,19.012874657054287,,
4.75,-17.890048073835086,19.56707524384485,548.1814922784702,0.4136556661456923,,548.1814922784702,18.191182913949177,,
4.875,-18.984997061934184,19.306145250150877,573.2839021293738,0.3938687750933537,,573.2839021293738,17.404733769672053,,
5.0,-20.07962449130386,19.045291884973985,599.5358053309263,0.37519148286000037,,599.5358053309263,16.65204621491891,,
5.125,-21.172270198673115,18.784910770755534,626.9898396565933,0.35758428142301024,,626.9898396565933,15.931702352742564,,
5.25,-22.261387253249364,18.52537054625983,655.7010532767296,0.34100438992098636,,655.7010532767296,15.242344096607415,,
5.375,-23.34553932297636,18.267013494203656,685.7270151358366,0.3254063842065993,,685.7270151358366,14.582670117627297,,
5.5,-24.423397635543243,18.010156265457926,717.1279303842347,0.3107428147931189,,717.1279303842347,13.951433023079716,,
5.625,-25.493737605565194,17.755090682801796,749.9667610955984,0.2969647986429954,,749.9667610955984,13.347436747057996,,
5.75,-26.555435193052467,17.502084608711616,784.3093525124082,0.28402257411020626,,784.3093525124082,12.769534133784502,,
5.875,-27.60746305231213,17.25138286309051,820.224565072452,0.27186601186651993,,820.224565072452,12.216624694505015,,
6.0,-28.648886524502124,17.00320817825606,857.7844124811066,0.26044507771657954,,857.7844124811066,11.68765251985126,,
6.125,-29.678859521579525,16.75776217980919,897.0642061062426,0.24971024578500914,,897.0642061062426,11.1816043309391,,
6.25,-30.696620343975145,16.51522638329624,938.142705985285,0.2396128626250859,,938.142705985285,10.69750765412006,,
6.375,-31.701487469470745,16.275763197733557,981.1022787472119,0.23010546436542803,,981.1022787472119,10.234429106100047,,
6.5,-32.692855346027414,16.039516928190512,1026.0290627661395,0.2211420501105851,,1026.0290627661395,9.791472777978859,,
6.625,-33.67019021696449,15.806614770663305,1073.0131408776467,0.21267831548813848,,1073.0131408776467,9.367778708562692,,
6.75,-34.63302600300621,15.577167793396944,1122.1487210041523,0.20467185054011816,,1122.1487210041523,8.962521438995394,,
6.875,-35.580960261924425,15.35127189971587,1173.5343250515148,0.1970823061447011,,1173.5343250515148,8.574908642292764,,
7.0,-36.51365024321975,15.129008768206587,1227.2729864556143,0.18987153287993017,,1227.2729864556143,8.204179822709674,,
7.125,-37.43080905225117,14.910446766818371,1283.4724567750195,0.18300369575870104,,1283.4724567750195,7.84960508099712,,
7.25,-38.33220193543191,14.695641838113458,1342.245421743976,0.17644536762654595,,1342.245421743976,7.510483942495308,,
7.375,-39.21764269570511,14.484638353471151,1403.7097272189235,0.17016560327332325,,1403.7097272189235,7.1861442456496745,,
7.5,-40.08699024526246,14.277469934586469,1467.9886154715934,0.16413599551926797,,1467.9886154715934,6.875941088924419,,
7.625,-40.94014530055772,14.074160241059426,1535.2109723024755,0.15833071374771038,,1535.2109723024755,6.579255834227157,,
7.75,-41.77704722290514,13.874723723290963,1605.5115854701385,0.15272652462411465,,1605.5115854701385,6.295495164860705,,
7.875,-42.59767100650509,13.67916634024648,1679.031414954591,0.14730279411601313,,1679.031414954591,6.024090195706663,,
8.0,-43.4020244143669,13.487486241974985,1755.9178755965756,0.14204146946026544,,1755.9178755965756,5.764495632855526,,
8.125,-44.190145261515,13.299674417030102,1836.3251326795319,0.13692703945647686,,1836.3251326795319,5.516188979275116,,
8.25,-44.96209884388491,13.115715305172746,1920.4144110468878,0.13194647143248706,,1920.4144110468878,5.2786697824130595,,
8.375,-45.71797551049321,12.935587375931098,2008.3543183744998,0.12708912345010595,,2008.3543183744998,5.051458918927051,,
8.5,-46.4578883758028,12.759263673751605,2100.3211832464335,0.12234663079958125,,2100.3211832464335,4.834097911104266,,
8.625,-47.181971168634874,12.586712330610412,2196.4994087119585,0.11771276655177657,,2196.4994087119585,4.626148269043428,,
8.75,-47.89037621351782,12.417897047064658,2297.081842032684,0.11318327685770646,,2297.081842032684,4.427190852399289,,
8.875,-48.58327254003281,12.252777542801715,2402.270161361206,0.10875569274455348,,2402.270161361206,4.236825245486173,,
9.0,-49.26084411540479,12.091309977818653,2512.2752801266033,0.10442912127645416,,2512.2752801266033,4.054669139839889,,
9.125,-49.92328819546314,11.933447345393816,2627.3177699376165,0.1002040200364206,,2627.3177699376165,3.88035771895687,,
9.25,-50.5708137888526,11.779139838070462,2747.628302851474,0.09608195984874222,,2747.628302851474,3.713543040845195,,
9.375,-51.20364022942887,11.628335187859669,2873.448113895156,0.0920653814114313,,2873.448113895156,3.553893415187202,,
9.5,-51.82199585164224,11.480978981900815,3005.0294847665045,0.08815735197402563,,3005.0294847665045,3.4010927732532306,,
9.625,-52.42611676378386,11.337014954801093,3142.6362496850466,0.08436132832977297,,3142.6362496850466,3.25484003012891,,
9.75,-53.01624571401516,11.196385258864472,3286.544324406816,0.08068093217499671,,3286.544324406816,3.1148484402230716,,
9.875,-53.59263104416583,11.059030713405134,3437.0422594639017,0.07711974333604149,,3437.0422594639017,2.980844948310442,,
10.0,-54.15552572639331,10.924891034314719,3594.431818738024,0.07368111551913481,,3594.431818738024,2.8525695394453656,,
10.125,-54.70518647794018,10.793905045018592,3759.028584528241,0.07036801816864355,,3759.028584528241,2.729774591893257,,
10.25,-55.241872949356775,10.666010869925115,3931.162590326006,0.06718290680861747,,3931.162590326006,2.612224237724952,,
10.375,-55.765846981692015,10.54114611143952,4111.17898256636,0.06412762298194612,,4111.17898256636,2.499693735894301,,
10.5,-56.27737192836566,10.419248011564036,4299.438712682124,0.06120332367877305,,4299.438712682124,2.3919688624872038,,
10.625,-56.77671203754271,10.300253599080113,4496.31926084876,0.05841043903766967,,4496.31926084876,2.2888453224299403,,
10.75,-57.26413189107134,10.184099823251394,4702.215392871039,0.05574865616884487,,4702.215392871039,2.1901281863324473,,
10.875,-57.73989589617465,10.070723674955257,4917.539951729213,0.05321692622700541,,4917.539951729213,2.0956313553833943,,
11.0,-58.204267826279036,9.960062296104951,5142.724685371758,0.05081349136969803,,5142.724685371758,2.005177056376496,,
11.125,-58.65751040755842,9.852053078177468,5378.221112414542,0.04853592797270762,,5378.221112414542,1.9185953680943482,,
11.25,-59.099884947907725,9.746633750630432,5624.501427482223,0.04638120241883651,,5624.501427482223,1.8357237794621208,,
11.375,-59.53165100529252,9.64374245993544,5882.059448007166,0.044345735899905564,,5882.059448007166,1.7564067791502957,,
11.5,-59.95306609250084,9.543317839936742,6151.41160438433,0.042425474936882444,,6151.41160438433,1.6804954756827504,,
11.625,-60.36438541560305,9.445299074177072,6433.097975467465,0.04061596468988374,,6433.097975467465,1.607847246609584,,
11.75,-60.765861643456546,9.349625950825494,6727.68337148293,0.038912422559782896,,6727.68337148293,1.5383254149379488,,
11.875,-61.15774470587474,9.256238910774362,7035.758466532444,0.03730981004149775,,7035.758466532444,1.4717989507739573,,
12.0,-61.54028161810016,9.165079089468005,7357.940982955574,0.03580290124654037,,7357.940982955574,1.4081421960030793,,
12.125,-61.91371632949221,9.076088352960907,7694.876929926739,0.034386346946264745,,7694.876929926739,1.347234609809538,,
12.25,-62.27828959434641,8.989209328701934,8047.241898770236,0.03305473338106205,,8047.241898770236,1.2889605328888865,,
12.375,-62.63423886300272,8.904385431483572,8415.742417590522,0.03180263542405507,,8415.742417590522,1.2332089683240905,,
12.5,-62.98179819145271,8.821560884982846,8801.117367933934,0.030624663975239046,,8801.117367933934,1.1798733772562537,,
12.625,-63.321198167810735,8.740680739283476,9204.139466322391,0.029515507692161373,,9204.139466322391,1.1288514876711546,,
12.75,-63.65266585409319,8.66169088475008,9625.616813629718,0.028469969337799723,,9625.616813629718,1.0800451148282724,,
12.875,-63.976424741894036,8.584538062590845,10066.394515407255,0.027482997149031893,,10066.394515407255,1.0333599920690046,,
13.0,-64.2926947206127,8.509169872428922,10527.356376407623,0.026549711704986805,,10527.356376407623,0.9887056109462092,,
13.125,-64.60169205699559,8.435534777177761,11009.42667270443,0.02566542880926425,,11009.42667270443,0.945995069811308,,
13.25,-64.90362938484604,8.363582105493238,11513.572004961123,0.02482567889933311,,11513.572004961123,0.9051449301726038,,
13.375,-65.19871570383775,8.293262052056452,12040.803236564994,0.024026223466125575,,12040.803236564994,0.8660750802953329,,
13.5,-65.48715638643665,8.22452567592419,12592.177520512547,0.02326306891249165,,12592.177520512547,0.8287086056473985,,
13.625,-65.76915319202209,8.157324897163829,13168.800419110281,0.02253247820614207,,13168.800419110281,0.7929716659026115,,
13.75,-66.04490428736472,8.091612491973361,13771.828120741138,0.02183098059623524,,13771.828120741138,0.7587933782940501,,
13.875,-66.31460427267591,8.027342086473753,14402.469758141457,0.021155379568115765,,14402.469758141457,0.7261057071629876,,
14.0,-66.57844421251671,7.964468149343224,15061.989832836824,0.020502759113258714,,15061.989832836824,0.6948433595733905,,
14.125,-66.83661167089497,7.90294598345349,15751.710750598017,0.019870488296772338,,15751.710750598017,0.6649436868587167,,
14.25,-67.08929074994016,7.842731716653426,16473.01547300104,0.01925622401859723,,16473.01547300104,0.6363465919381086,,
14.375,-67.33666213161251,7.783782291829634,17227.35029040763,0.01865791179259666,,17227.35029040763,0.6089944421857181,,
14.5,-67.57890312191377,7.726055456370875,18016.227721926643,0.01807378431565342,,18016.227721926643,0.5828319875637924,,
14.625,-67.81618769713707,7.6695097511465775,18841.229548170857,0.01750235757168881,,18841.229548170857,0.5578062836429036,,
14.75,-68.04868655172642,7.614104499101752,19704.009982890246,0.016942424217170526,,19704.009982890246,0.5338666190382497,,
14.875,-68.27656714733743,7.5597997935656664,20606.298989841154,0.016393044027561032,,20606.298989841154,0.5109644466975424,,
15.0,-68.49999376278278,7.506556486349654,21549.905751542057,0.015853531248572812,,21549.905751542057,0.4890533183926478,,
15.125,-68.7191275444698,7.454336175727699,22536.722296871103,0.015323438789837543,,22536.722296871103,0.4680888217029848,,
15.25,-68.93412655710307,7.4031011943538125,23568.72729477912,0.014802539316765896,,23568.72729477912,0.4480285187421092,,
15.375,-69.14514583433062,7.352814597192899,24647.99002172501,0.014290803431465113,,24647.99002172501,0.4288318858767287,,
15.5,-69.35233742913461,7.30344014951246,25776.674510788394,0.013788375275886385,,25776.674510788394,0.41046025372386385,,
15.625,-69.55585046370157,7.2549423149983685,26957.04389077916,0.013295546028736949,,26957.04389077916,0.3928767467880443,,
15.75,-69.75583117863164,7.207286244028152,28191.464924044165,0.012812725890526042,,28191.464924044165,0.376046222213827,,
15.875,-69.95242298125238,7.160437762157619,29482.412752069788,0.0123404152475814,,29482.412752069788,0.35993520727335326,,
16.0,-70.1457664929501,7.114363358841682,30832.47585839592,0.011879175767072588,,30832.47585839592,0.34451183537497515,,
16.125,-70.33599959530221,7.069030176440831,32244.361258792436,0.011429602195059948,,32244.361258792436,0.3297457805555471,,
16.25,-70.52325747497366,7.024405999522192,33720.899929105,0.010992295606055075,,33720.899929105,0.3156081905933304,,
16.375,-70.70767266719915,6.98045924449755,35265.052481653605,0.010567838787137046,,35265.052481653605,0.3020716190380909,,
16.5,-70.88937509781297,6.937158949607508,36879.915101565646,0.010156774337619147,,36879.915101565646,0.28910995658913863,,
16.625,-71.06849212371651,6.894474765277941,38568.72575494639,0.00975958593493278,,38568.72575494639,0.27669836235244455,,
16.75,-71.24514857173196,6.852376944861034,40334.870681335015,0.009376683069157815,,40334.870681335015,0.2648131955696036,,
16.875,-71.41946677580184,6.810836335770502,42181.89118346415,0.009008389393709557,,42181.89118346415,0.25343194843295824,,
17.0,-71.59156661245196,6.769824371030654,44113.490727937,0.008654934688996594,,44113.490727937,0.2425331805846136,,
17.125,-71.76156553454518,6.729313061232766,46133.54237105995,0.008316450298936979,,46133.54237105995,0.2320964558473428,,
17.25,-71.9295786032252,6.689274986922759,48246.09652471983,0.007992967784482838,,48246.09652471983,0.22210228165944743,,
17.375,-72.09571851812441,6.649683291402556,50455.38907787768,0.007684420448619742,,50455.38907787768,0.21253205159170097,,
17.5,-72.2600956457412,6.61051167396772,52765.84988996271,0.007390647325889994,,52765.84988996271,0.20336799122097288,,
17.625,-72.42281804606965,6.5717343835614495,55182.11167319754,0.007111399196103879,,55182.11167319754,0.1945931075298755,,
17.75,-72.58399149741825,6.533326212860237,57709.01928166397,0.006846346174288218,,57709.01928166397,0.18619114190156938,,
17.875,-72.74371951947336,6.4952624927777665,60351.639425735055,0.006595086443339121,,60351.639425735055,0.17814652668890923,,
18.0,-72.90210339463039,6.457519087381595,63115.27083135204,0.006357155727664464,,63115.27083135204,0.1704443452610192,,
18.125,-73.05924218758548,6.42007238922442,66005.4548645163,0.006132037150350218,,66005.4548645163,0.16307029537008627,,
18.25,-73.21523276325344,6.382899315074163,69027.98664229971,0.005919171168210238,,69027.98664229971,0.15601065563719124,,
18.375,-73.37016980303078,6.3459773020384205,72188.92665265215,0.005717965334093034,,72188.92665265215,0.14925225492768196,,
18.5,-73.52414581944792,6.309284304072828,75494.61290630474,0.005527803690319525,,75494.61290630474,0.14278244437243062,,
18.625,-73.67725116925044,6.272798788863722,78951.67364513518,0.005348055648205325,,78951.67364513518,0.1365890717891792,,
18.75,-73.82957406498008,6.2364997350683655,82567.04063247632,0.005178084254187476,,82567.04063247632,0.13066045826570624,,
18.875,-73.98120058506983,6.200366629909242,86347.96305201648,0.005017253781799196,,86347.96305201648,0.12498537668122482,,
19.0,-74.13221468255054,6.164379467099263,90302.02204316044,0.004864936619963212,,90302.02204316044,0.11955303196188254,,
19.125,-74.28269819240117,6.12851874509016,94437.14590199596,0.0047205194517130206,,94437.14590199596,0.11435304288827139,,
19.25,-74.43273083761628,6.092765465626582,98761.62597834493,0.0045834087338621435,,98761.62597834493,0.10937542529554013,,
